HKEY_CLASSES_ROOT\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppModel\SystemAppData\Microsoft.Windows.ContentDeliveryManager_cw5n1h2txyewy\PersistedStorageItemTable\System\1d8941e3-6c0a-4e0a-85e5-b99fb3e71a09.Response.0   FilePath:\\?\Volume{03C99877-7CA5-4E1A-9437-02A8868EDFE0}\Users\정진우\AppData\Local\Packages\Microsoft.Windows.ContentDeliveryManager_cw5n1h2txyewy\LocalState\StagedAssets\3adca56c5abdcdb858510c61faa733008065d521ca4a91ca9d66e6d6b0a95b3c -> \\?\Volume{03C99877-7CA5-4E1A-9437-02A8868EDFE0}\Users\jinwoo\AppData\Local\Packages\Microsoft.Windows.ContentDeliveryManager_cw5n1h2txyewy\LocalState\StagedAssets\3adca56c5abdcdb858510c61faa733008065d521ca4a91ca9d66e6d6b0a95b3c
HKEY_CLASSES_ROOT\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppModel\SystemAppData\Microsoft.Windows.ContentDeliveryManager_cw5n1h2txyewy\PersistedStorageItemTable\System\27f60b6a-8e84-47b5-a8a9-f3a3c1e5407d.Response.0   FilePath:\\?\Volume{03C99877-7CA5-4E1A-9437-02A8868EDFE0}\Users\정진우\AppData\Local\Packages\Microsoft.Windows.ContentDeliveryManager_cw5n1h2txyewy\LocalState\StagedAssets\441f0150f413b44fbda7c212a38fdc78acfb3ee0725c3c88d425ed528708c2fb -> \\?\Volume{03C99877-7CA5-4E1A-9437-02A8868EDFE0}\Users\jinwoo\AppData\Local\Packages\Microsoft.Windows.ContentDeliveryManager_cw5n1h2txyewy\LocalState\StagedAssets\441f0150f413b44fbda7c212a38fdc78acfb3ee0725c3c88d425ed528708c2fb
HKEY_CLASSES_ROOT\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppModel\SystemAppData\Microsoft.Windows.ContentDeliveryManager_cw5n1h2txyewy\PersistedStorageItemTable\System\3b3336f5-b0b9-48d9-947b-b745bba2e2cc.Response.0   FilePath:\\?\Volume{03C99877-7CA5-4E1A-9437-02A8868EDFE0}\Users\정진우\AppData\Local\Packages\Microsoft.Windows.ContentDeliveryManager_cw5n1h2txyewy\LocalState\StagedAssets\37a5dc662a21e2e4f39235304b188e73bc2e198a60d3cbaa712dc378bc941121 -> \\?\Volume{03C99877-7CA5-4E1A-9437-02A8868EDFE0}\Users\jinwoo\AppData\Local\Packages\Microsoft.Windows.ContentDeliveryManager_cw5n1h2txyewy\LocalState\StagedAssets\37a5dc662a21e2e4f39235304b188e73bc2e198a60d3cbaa712dc378bc941121
HKEY_CLASSES_ROOT\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppModel\SystemAppData\Microsoft.Windows.ContentDeliveryManager_cw5n1h2txyewy\PersistedStorageItemTable\System\932009d7-4146-4266-86f2-ace1477cb20e.Response.0   FilePath:\\?\Volume{03C99877-7CA5-4E1A-9437-02A8868EDFE0}\Users\정진우\AppData\Local\Packages\Microsoft.Windows.ContentDeliveryManager_cw5n1h2txyewy\LocalState\StagedAssets\5f44a9090cfb68c7eecd838210d095a040ec08a57285982b65582ec71f4bda2e -> \\?\Volume{03C99877-7CA5-4E1A-9437-02A8868EDFE0}\Users\jinwoo\AppData\Local\Packages\Microsoft.Windows.ContentDeliveryManager_cw5n1h2txyewy\LocalState\StagedAssets\5f44a9090cfb68c7eecd838210d095a040ec08a57285982b65582ec71f4bda2e
HKEY_CLASSES_ROOT\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppModel\SystemAppData\Microsoft.Windows.ContentDeliveryManager_cw5n1h2txyewy\PersistedStorageItemTable\System\fb81108d-d40e-44b2-81a2-d94f821c0fa9.Response.0   FilePath:\\?\Volume{03C99877-7CA5-4E1A-9437-02A8868EDFE0}\Users\정진우\AppData\Local\Packages\Microsoft.Windows.ContentDeliveryManager_cw5n1h2txyewy\LocalState\StagedAssets\98220a134d11aafcde8b07ebbab0be5975e925fc3bbba888ff6dd5783b9eb272 -> \\?\Volume{03C99877-7CA5-4E1A-9437-02A8868EDFE0}\Users\jinwoo\AppData\Local\Packages\Microsoft.Windows.ContentDeliveryManager_cw5n1h2txyewy\LocalState\StagedAssets\98220a134d11aafcde8b07ebbab0be5975e925fc3bbba888ff6dd5783b9eb272
HKEY_CLASSES_ROOT\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppModel\SystemAppData\Microsoft.Windows.ContentDeliveryManager_cw5n1h2txyewy\PersistedStorageItemTable\System\fe54ad3b-f286-4326-bf9b-67dafe16a631.Response.0   FilePath:\\?\Volume{03C99877-7CA5-4E1A-9437-02A8868EDFE0}\Users\정진우\AppData\Local\Packages\Microsoft.Windows.ContentDeliveryManager_cw5n1h2txyewy\LocalState\StagedAssets\498fd8f30ee1d5bfbc06ae0bf86550e93f7a8d60733b82b05ddedf605452efd3 -> \\?\Volume{03C99877-7CA5-4E1A-9437-02A8868EDFE0}\Users\jinwoo\AppData\Local\Packages\Microsoft.Windows.ContentDeliveryManager_cw5n1h2txyewy\LocalState\StagedAssets\498fd8f30ee1d5bfbc06ae0bf86550e93f7a8d60733b82b05ddedf605452efd3
HKEY_LOCAL_MACHINE\SOFTWARE\Intel\NETWORK_SERVICES\DMIX   SupportDir:C:\Users\정진우\AppData\Local\Temp\IntC528.tmp -> C:\Users\jinwoo\AppData\Local\Temp\IntC528.tmp
HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Products\02AD77ACB601B9E48A1C24C85630B10E\InstallProperties   InstallSource:C:\Users\정진우\Desktop\한글 2020\install\ -> C:\Users\jinwoo\Desktop\한글 2020\install\
HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Products\4A79CFC94EE708D4CBAE9DBE10A79BAD\InstallProperties   InstallSource:C:\Users\정진우\AppData\Local\Temp\7zS02C6\ -> C:\Users\jinwoo\AppData\Local\Temp\7zS02C6\
HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Products\91BC4CE8D0584DB49B416FD37FAD6DD7\InstallProperties   InstallSource:C:\Users\정진우\AppData\Local\Temp\IIF21C4.tmp\ -> C:\Users\jinwoo\AppData\Local\Temp\IIF21C4.tmp\
HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Products\AFFB1C0B816A52347B73213D4B0E30B1\InstallProperties   InstallSource:C:\Users\정진우\Desktop\ -> C:\Users\jinwoo\Desktop\
